2023-10-23 10:27:08,054 | osnma.osnma_core.receiver_state     | INFO     | 
Start status COLD_START

2023-10-23 10:27:08,061 | osnma.cryptographic.dsm_pkr         | WARNING  | Cannot compute Padding length: Missing attribute NB_DP
2023-10-23 10:27:08,062 | osnma.osnma_core.receiver_state     | INFO     | Public Key 1 read. Start status WARM_START

2023-10-23 10:27:08,066 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286110 SVID 27 ---
2023-10-23 10:27:08,066 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,070 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286110 SVID 15 ---
2023-10-23 10:27:08,070 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,072 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286110 SVID 13 ---
2023-10-23 10:27:08,073 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,074 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286110 SVID 21 ---
2023-10-23 10:27:08,075 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,098 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286140 SVID 13 ---
2023-10-23 10:27:08,099 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,100 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286140 SVID 15 ---
2023-10-23 10:27:08,100 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,101 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286140 SVID 27 ---
2023-10-23 10:27:08,101 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,129 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286170 SVID 27 ---
2023-10-23 10:27:08,130 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,131 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286170 SVID 15 ---
2023-10-23 10:27:08,132 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,148 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286200 SVID 27 ---
2023-10-23 10:27:08,149 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,150 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286200 SVID 15 ---
2023-10-23 10:27:08,151 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,151 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286200 SVID 13 ---
2023-10-23 10:27:08,151 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,153 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286200 SVID 21 ---
2023-10-23 10:27:08,155 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,174 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286230 SVID 30 ---
2023-10-23 10:27:08,175 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,178 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286230 SVID 27 ---
2023-10-23 10:27:08,179 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,180 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286230 SVID 15 ---
2023-10-23 10:27:08,180 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,181 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286230 SVID 13 ---
2023-10-23 10:27:08,182 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,200 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286260 SVID 15 ---
2023-10-23 10:27:08,200 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,201 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286260 SVID 27 ---
2023-10-23 10:27:08,202 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,204 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286260 SVID 30 ---
2023-10-23 10:27:08,206 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,208 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286260 SVID 21 ---
2023-10-23 10:27:08,209 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,229 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286290 SVID 30 ---
2023-10-23 10:27:08,230 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,231 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286290 SVID 27 ---
2023-10-23 10:27:08,232 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,234 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286290 SVID 15 ---
2023-10-23 10:27:08,234 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,251 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286320 SVID 30 ---
2023-10-23 10:27:08,255 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,257 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286320 SVID 27 ---
2023-10-23 10:27:08,259 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,260 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286320 SVID 15 ---
2023-10-23 10:27:08,260 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,279 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286350 SVID 30 ---
2023-10-23 10:27:08,280 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,281 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286350 SVID 27 ---
2023-10-23 10:27:08,282 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,282 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286350 SVID 15 ---
2023-10-23 10:27:08,283 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,300 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286380 SVID 30 ---
2023-10-23 10:27:08,300 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,302 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286380 SVID 15 ---
2023-10-23 10:27:08,303 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,304 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286380 SVID 27 ---
2023-10-23 10:27:08,306 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,308 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286380 SVID 13 ---
2023-10-23 10:27:08,309 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,325 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286410 SVID 30 ---
2023-10-23 10:27:08,326 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,328 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286410 SVID 15 ---
2023-10-23 10:27:08,329 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,330 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286410 SVID 13 ---
2023-10-23 10:27:08,331 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,332 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286410 SVID 27 ---
2023-10-23 10:27:08,332 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,350 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286440 SVID 13 ---
2023-10-23 10:27:08,350 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,352 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286440 SVID 30 ---
2023-10-23 10:27:08,352 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,353 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286440 SVID 15 ---
2023-10-23 10:27:08,354 | osnma.receiver.receiver             | INFO     | No OSNMA data.
2023-10-23 10:27:08,356 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286440 SVID 27 ---
2023-10-23 10:27:08,358 | osnma.receiver.receiver             | WARNING  | Broken HKROOT Subframe. Regenerating HKROOT and processing MACK if active.
2023-10-23 10:27:08,360 | osnma.receiver.receiver             | INFO     | --- SUBFRAME --- WN 1239 TOW 286440 SVID 21 ---
